"family","case","xi","scale","shape","x","p","n","quantity","value","absolute_tolerance","relative_tolerance","estimated_absolute_error","oracle","status"
"Exponential","R-standardized-evaluation","0","1","0","0","NaN","NaN","LogPDF","-0","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","0","NaN","NaN","LogCDF","-Inf","0","1.9999999999999999e-11","0","R-stats","infinite"
"Exponential","R-standardized-evaluation","0","1","0","0","NaN","NaN","LogCCDF","0","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","9.9999999999999995e-21","NaN","NaN","LogPDF","-9.9999999999999995e-21","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","9.9999999999999995e-21","NaN","NaN","LogCDF","-46.051701859880914","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","9.9999999999999995e-21","NaN","NaN","LogCCDF","-9.9999999999999995e-21","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","0.10000000000000001","NaN","NaN","LogPDF","-0.10000000000000001","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","0.10000000000000001","NaN","NaN","LogCDF","-2.3521684610440907","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","0.10000000000000001","NaN","NaN","LogCCDF","-0.10000000000000001","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","1","NaN","NaN","LogPDF","-1","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","1","NaN","NaN","LogCDF","-0.45867514538708193","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","1","NaN","NaN","LogCCDF","-1","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","10","NaN","NaN","LogPDF","-10","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","10","NaN","NaN","LogCDF","-4.5400960370489214e-05","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","10","NaN","NaN","LogCCDF","-10","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","1000","NaN","NaN","LogPDF","-1000","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","1000","NaN","NaN","LogCDF","-0","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","1","0","1000","NaN","NaN","LogCCDF","-1000","0","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","9.9999999999999998e-201","0","0","NaN","NaN","LogPDF","460.51701859880916","1.9999999999999999e-11","1.9999999999999999e-11","0","R-stats","finite"
"Exponential","R-standardized-evaluation","0","9.9999999999999998e-201","0","0","NaN","NaN","LogCDF","-Inf","0","1.9999999999999999e-11","0","R-stats","infinite"
"Exponential","R-standardized-evaluation","0","9.9999999999999998e-201","0","0","NaN","NaN","LogCCDF","0","0","1.9999999999999999e-11","0","R-stats","finite"
