kappa,hondo,endpoint,step,x,logcdf,logpdf
-2.0,0.2,lower,1,-0.4799999999999999,-169.8210592371866,-131.02853365244698
-2.0,0.2,lower,2,-0.47999999999999987,-166.9344824120125,-128.7192721923077
-2.0,0.2,lower,3,-0.4799999999999998,-165.11614251486398,-127.2646002745889
-2.0,0.2,lower,4,-0.47999999999999976,-163.78559457887573,-126.20016192579831
-2.0,0.5,lower,1,-0.37499999999999994,-72.0873067782343,-33.96421184743732
-2.0,0.5,lower,2,-0.3749999999999999,-70.70101241711443,-33.27106466687738
-2.0,0.5,lower,3,-0.37499999999999983,-69.89008220089809,-32.86559955876921
-2.0,0.5,lower,4,-0.3749999999999998,-69.31471805599453,-32.57791748631743
-2.0,1.0,lower,1,5e-324,-744.4400719213812,-1.5e-323
-2.0,1.0,lower,2,1e-323,-743.7469247408213,-3e-323
-2.0,1.0,lower,3,1.5e-323,-743.3414596327132,-4.4e-323
-2.0,1.0,lower,4,2e-323,-743.0537775602613,-6e-323
-2.0,2.0,lower,1,1.5000000000000002,-18.714973875118524,16.635532333438686
-2.0,2.0,lower,2,1.5000000000000004,-18.36840028483855,16.288958743158716
-2.0,2.0,lower,3,1.5000000000000007,-18.16566773078447,16.086226189104632
-2.0,2.0,lower,4,1.5000000000000009,-18.021826694558577,15.942385152878742
-2.0,10.0,lower,1,49.50000000000001,-3.718308767230552,26.557023626092832
-2.0,10.0,lower,2,49.500000000000014,-3.6489940491745574,25.93319116358888
-2.0,10.0,lower,3,49.50000000000002,-3.608447538363741,25.568272566291533
-2.0,10.0,lower,4,49.50000000000003,-3.5796793311185633,25.30935870108493
-0.5,0.2,lower,1,-1.1055728090000838,-174.9451248220798,-137.5419429890127
-0.5,0.2,lower,2,-1.1055728090000836,-172.06522953351705,-135.2380267581625
-0.5,0.2,lower,3,-1.1055728090000834,-170.24949948924422,-133.78544272274422
-0.5,0.2,lower,4,-1.1055728090000831,-168.92034240505183,-132.7221170553903
-0.5,0.5,lower,1,-0.5857864376269049,-73.05724925174383,-35.48890385503199
-0.5,0.5,lower,2,-0.5857864376269047,-71.52777258372446,-34.72416552102231
-0.5,0.5,lower,3,-0.5857864376269046,-70.67130566741635,-34.29593206286825
