family,kappa,hondo,location,scale,sample_size,quantity,row,column,value,absolute_error_estimate,alternate_coordinate_difference
GNO,0,NA,0,1,1,score_mean,1,0,0,0,0
GNO,0,NA,0,1,1,score_mean,2,0,2.8839777788114418e-17,1.4609176947993383e-14,2.7863995832877464e-16
GNO,0,NA,0,1,1,score_mean,3,0,0,0,0
GNO,0,NA,0,1,1,information,1,1,1.0000000000000002,1.9425164948689757e-12,4.4408920985006262e-16
GNO,0,NA,0,1,1,covariance,1,1,1.1666666666666663,3.6462452288211073e-12,4.4408920985006262e-16
GNO,0,NA,0,1,1,information,1,2,0,0,5.5511151231257827e-17
GNO,0,NA,0,1,1,covariance,1,2,0,3.6462452288211073e-12,3.2381504884900413e-17
GNO,0,NA,0,1,1,information,1,3,-0.5,3.4266786595014829e-13,3.8857805861880479e-16
GNO,0,NA,0,1,1,covariance,1,3,0.3333333333333332,3.6462452288211073e-12,1.1102230246251565e-16
GNO,0,NA,0,1,1,information,2,1,0,0,5.5511151231257827e-17
GNO,0,NA,0,1,1,covariance,2,1,0,3.6462452288211073e-12,3.2381504884900413e-17
GNO,0,NA,0,1,1,information,2,2,2,7.6559392893350515e-13,6.6613381477509392e-16
GNO,0,NA,0,1,1,covariance,2,2,0.5,3.6462452288211073e-12,2.2204460492503131e-16
GNO,0,NA,0,1,1,information,2,3,0,0,0
GNO,0,NA,0,1,1,covariance,2,3,0,3.6462452288211073e-12,9.2518585385429753e-18
GNO,0,NA,0,1,1,information,3,1,-0.5,3.4266786595014829e-13,3.8857805861880479e-16
GNO,0,NA,0,1,1,covariance,3,1,0.3333333333333332,3.6462452288211073e-12,1.6653345369377348e-16
GNO,0,NA,0,1,1,information,3,2,0,0,0
GNO,0,NA,0,1,1,covariance,3,2,0,3.6462452288211073e-12,9.2518585385429753e-18
GNO,0,NA,0,1,1,information,3,3,1.7500000000000002,9.6875384131102392e-13,1.3322676295501878e-15
GNO,0,NA,0,1,1,covariance,3,3,0.66666666666666652,3.6462452288211073e-12,5.5511151231257827e-16
GNO,0,NA,0,1,1,exact_covariance,1,1,1.1666666666666667,0,4.4408920985006262e-16
GNO,0,NA,0,1,1,exact_covariance,1,2,0,0,0
GNO,0,NA,0,1,1,exact_covariance,1,3,0.33333333333333331,0,1.1102230246251565e-16
GNO,0,NA,0,1,1,exact_covariance,2,1,0,0,0
GNO,0,NA,0,1,1,exact_covariance,2,2,0.5,0,0
GNO,0,NA,0,1,1,exact_covariance,2,3,0,0,0
GNO,0,NA,0,1,1,exact_covariance,3,1,0.33333333333333331,0,1.1102230246251565e-16
GNO,0,NA,0,1,1,exact_covariance,3,2,0,0,0
GNO,0,NA,0,1,1,exact_covariance,3,3,0.66666666666666663,0,1.1102230246251565e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,score_mean,1,0,-2.515885765942076e-17,1.3474487407666315e-13,2.515885765942076e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,score_mean,2,0,9.16692936836494e-17,1.4609307233232677e-14,3.6922504983993854e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,score_mean,3,0,-8.2787213554512201e-18,2.869129411614636e-14,4.2973190874987362e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,information,1,1,1.000000000003,1.9425705533691407e-12,2.2204460492503131e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,1,1,1.1666666666665091,3.6470165689171416e-12,0
GNO,-9.9999999999999995e-07,NA,0,1,1,information,1,2,-2.4999999999601549e-06,1.7344659542721339e-14,5.6223082423425066e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,1,2,1.0000000000103786e-06,3.6470165689171416e-12,2.5875797747434807e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,information,1,3,-0.50000000000287492,3.425639368956698e-13,4.4408920985006262e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,1,3,0.33333333333310189,3.6470165689171416e-12,1.1102230246251565e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,information,2,1,-2.4999999999601549e-06,1.7344659542721339e-14,5.6223082423425066e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,2,1,1.0000000000103782e-06,3.6470165689171416e-12,2.5876221263908435e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,information,2,2,2.0000000000037503,7.6551313149756331e-13,8.8817841970012523e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,2,2,0.50000000000099998,3.6470165689171416e-12,2.2204460492503131e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,information,2,3,2.74999999978775e-06,2.8805135796265044e-14,4.152790782151021e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,2,3,-4.9999999993552288e-07,3.6470165689171416e-12,4.4728633570947397e-18
GNO,-9.9999999999999995e-07,NA,0,1,1,information,3,1,-0.50000000000287492,3.425639368956698e-13,4.4408920985006262e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,3,1,0.33333333333310189,3.6470165689171416e-12,1.1102230246251565e-16
GNO,-9.9999999999999995e-07,NA,0,1,1,information,3,2,2.74999999978775e-06,2.8805135796265044e-14,4.152790782151021e-17
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,3,2,-4.9999999993552298e-07,3.6470165689171416e-12,4.4728633570947397e-18
GNO,-9.9999999999999995e-07,NA,0,1,1,information,3,3,1.7500000000027913,9.6819962746727422e-13,1.1102230246251565e-15
GNO,-9.9999999999999995e-07,NA,0,1,1,covariance,3,3,0.66666666666687058,3.6470165689171416e-12,2.2204460492503131e-16
GNO,9.9999999999999995e-07,NA,0,1,1,score_mean,1,0,2.515885765942076e-17,1.3474487407666315e-13,2.515885765942076e-17
GNO,9.9999999999999995e-07,NA,0,1,1,score_mean,2,0,9.16692936836494e-17,1.4609307233232677e-14,3.4146947422430962e-16
GNO,9.9999999999999995e-07,NA,0,1,1,score_mean,3,0,8.2787213554512201e-18,2.869129411614636e-14,3.6034296971080134e-17
GNO,9.9999999999999995e-07,NA,0,1,1,information,1,1,1.000000000003,1.9425705533691407e-12,2.2204460492503131e-16
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,1,1,1.1666666666665091,3.6470165689171416e-12,0
GNO,9.9999999999999995e-07,NA,0,1,1,information,1,2,2.4999999999601549e-06,1.7344659542721339e-14,1.6724538488594072e-16
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,1,2,-1.0000000000103786e-06,3.6470165689171416e-12,1.0914252459432155e-16
GNO,9.9999999999999995e-07,NA,0,1,1,information,1,3,-0.50000000000287492,3.425639368956698e-13,5.5511151231257827e-16
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,1,3,0.33333333333310189,3.6470165689171416e-12,1.6653345369377348e-16
GNO,9.9999999999999995e-07,NA,0,1,1,information,2,1,2.4999999999601549e-06,1.7344659542721339e-14,1.6724538488594072e-16
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,2,1,-1.0000000000103782e-06,3.6470165689171416e-12,1.0914294811079518e-16
GNO,9.9999999999999995e-07,NA,0,1,1,information,2,2,2.0000000000037503,7.6551313149756331e-13,8.8817841970012523e-16
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,2,2,0.50000000000099998,3.6470165689171416e-12,2.2204460492503131e-16
GNO,9.9999999999999995e-07,NA,0,1,1,information,2,3,-2.74999999978775e-06,2.8805135796265044e-14,6.9494394641005444e-17
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,2,3,4.9999999993552288e-07,3.6470165689171416e-12,5.1038287874163087e-17
GNO,9.9999999999999995e-07,NA,0,1,1,information,3,1,-0.50000000000287492,3.425639368956698e-13,5.5511151231257827e-16
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,3,1,0.33333333333310189,3.6470165689171416e-12,1.6653345369377348e-16
GNO,9.9999999999999995e-07,NA,0,1,1,information,3,2,-2.74999999978775e-06,2.8805135796265044e-14,6.9494394641005444e-17
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,3,2,4.9999999993552298e-07,3.6470165689171416e-12,5.1038287874163087e-17
GNO,9.9999999999999995e-07,NA,0,1,1,information,3,3,1.7500000000027913,9.6819962746727422e-13,1.1102230246251565e-15
GNO,9.9999999999999995e-07,NA,0,1,1,covariance,3,3,0.66666666666687058,3.6470165689171416e-12,2.2204460492503131e-16
GNO,-0.20000000000000001,NA,0,1,1,score_mean,1,0,9.9882125140227096e-18,6.9397781129274311e-14,1.0103408994849294e-16
GNO,-0.20000000000000001,NA,0,1,1,score_mean,2,0,-5.6974824164113258e-17,1.5200829420078829e-14,1.3731420514528914e-16
GNO,-0.20000000000000001,NA,0,1,1,score_mean,3,0,1.3357370765021415e-16,4.6088561407363565e-14,8.1532003370909933e-17
GNO,-0.20000000000000001,NA,0,1,1,information,1,1,1.126618550381957,3.9328344433275145e-13,4.4408920985006262e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,1,1,1.1604828547428099,6.4456339311483132e-12,0
GNO,-0.20000000000000001,NA,0,1,1,information,1,2,-0.53208605177600543,4.2598332070351411e-14,3.3306690738754696e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,1,2,0.20000000000000001,6.4456339311483132e-12,5.5511151231257827e-17
GNO,-0.20000000000000001,NA,0,1,1,information,1,3,-0.62002757882651538,7.5042588626527028e-14,5.5511151231257827e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,1,3,0.32418606536613409,6.4456339311483132e-12,3.8857805861880479e-16
GNO,-0.20000000000000001,NA,0,1,1,information,2,1,-0.53208605177600543,4.2598332070351411e-14,3.3306690738754696e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,2,1,0.20000000000000004,6.4456339311483132e-12,5.5511151231257827e-17
GNO,-0.20000000000000001,NA,0,1,1,information,2,2,2.1553967582111317,3.4892354006417827e-12,8.8817841970012523e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,2,2,0.54000000000000004,6.4456339311483132e-12,1.1102230246251565e-16
GNO,-0.20000000000000001,NA,0,1,1,information,2,3,0.57497039078810097,3.8938198616231853e-13,1.1102230246251565e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,2,3,-0.09999999999999998,6.4456339311483132e-12,1.5265566588595902e-16
GNO,-0.20000000000000001,NA,0,1,1,information,3,1,-0.62002757882651538,7.5042588626527028e-14,5.5511151231257827e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,3,1,0.32418606536613409,6.4456339311483132e-12,4.4408920985006262e-16
GNO,-0.20000000000000001,NA,0,1,1,information,3,2,0.57497039078810097,3.8938198616231853e-13,1.1102230246251565e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,3,2,-0.09999999999999998,6.4456339311483132e-12,1.3877787807814457e-16
GNO,-0.20000000000000001,NA,0,1,1,information,3,3,1.8647849526027149,1.2881022703014334e-12,2.2204460492503131e-16
GNO,-0.20000000000000001,NA,0,1,1,covariance,3,3,0.67487746429986739,6.4456339311483132e-12,2.2204460492503131e-16
GNO,0.20000000000000001,NA,0,1,1,score_mean,1,0,-9.9882125140227096e-18,6.9397781129274311e-14,4.5522938717235117e-17
GNO,0.20000000000000001,NA,0,1,1,score_mean,2,0,-5.6974824164113258e-17,1.5200829420078829e-14,1.7894756856873251e-16
GNO,0.20000000000000001,NA,0,1,1,score_mean,3,0,-1.3357370765021415e-16,4.6088561407363565e-14,3.9898639947466563e-17
GNO,0.20000000000000001,NA,0,1,1,information,1,1,1.126618550381957,3.9328344433275145e-13,4.4408920985006262e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,1,1,1.1604828547428099,6.4456339311483132e-12,0
GNO,0.20000000000000001,NA,0,1,1,information,1,2,0.53208605177600543,4.2598332070351411e-14,3.3306690738754696e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,1,2,-0.20000000000000001,6.4456339311483132e-12,5.5511151231257827e-17
GNO,0.20000000000000001,NA,0,1,1,information,1,3,-0.62002757882651538,7.5042588626527028e-14,5.5511151231257827e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,1,3,0.32418606536613409,6.4456339311483132e-12,3.8857805861880479e-16
GNO,0.20000000000000001,NA,0,1,1,information,2,1,0.53208605177600543,4.2598332070351411e-14,3.3306690738754696e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,2,1,-0.20000000000000004,6.4456339311483132e-12,5.5511151231257827e-17
GNO,0.20000000000000001,NA,0,1,1,information,2,2,2.1553967582111317,3.4892354006417827e-12,8.8817841970012523e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,2,2,0.54000000000000004,6.4456339311483132e-12,1.1102230246251565e-16
GNO,0.20000000000000001,NA,0,1,1,information,2,3,-0.57497039078810097,3.8938198616231853e-13,1.1102230246251565e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,2,3,0.09999999999999998,6.4456339311483132e-12,1.5265566588595902e-16
GNO,0.20000000000000001,NA,0,1,1,information,3,1,-0.62002757882651538,7.5042588626527028e-14,5.5511151231257827e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,3,1,0.32418606536613409,6.4456339311483132e-12,4.4408920985006262e-16
GNO,0.20000000000000001,NA,0,1,1,information,3,2,-0.57497039078810097,3.8938198616231853e-13,1.1102230246251565e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,3,2,0.09999999999999998,6.4456339311483132e-12,1.3877787807814457e-16
GNO,0.20000000000000001,NA,0,1,1,information,3,3,1.8647849526027149,1.2881022703014334e-12,2.2204460492503131e-16
GNO,0.20000000000000001,NA,0,1,1,covariance,3,3,0.67487746429986739,6.4456339311483132e-12,2.2204460492503131e-16
GNO,-1,NA,0,1,1,score_mean,1,0,-4.5102810375396984e-17,1.3458266784668782e-14,6.0021432268797525e-16
GNO,-1,NA,0,1,1,score_mean,2,0,4.5102810375396984e-17,1.3572758091554548e-14,4.891920202254596e-16
GNO,-1,NA,0,1,1,score_mean,3,0,5.4210108624275222e-17,1.1324159398515834e-13,2.0079424234431542e-16
GNO,-1,NA,0,1,1,information,1,1,14.778112197861303,2.1004639009308756e-11,1.2434497875801753e-14
GNO,-1,NA,0,1,1,covariance,1,1,1.0635395349949464,2.7064447157493955e-10,7.5495165674510645e-15
GNO,-1,NA,0,1,1,information,1,2,-13.129390927161172,1.7179570726652612e-11,8.8817841970012523e-15
GNO,-1,NA,0,1,1,covariance,1,2,0.99999999999999234,2.7064447157493955e-10,1.0547118733938987e-14
GNO,-1,NA,0,1,1,information,1,3,-9.8319483857609171,1.5960551777435551e-11,1.0658141036401503e-14
GNO,-1,NA,0,1,1,covariance,1,3,0.16148535219681237,2.7064447157493955e-10,2.6922908347160046e-15
GNO,-1,NA,0,1,1,information,2,1,-13.129390927161172,1.7179570726652612e-11,8.8817841970012523e-15
GNO,-1,NA,0,1,1,covariance,2,1,0.99999999999999234,2.7064447157493955e-10,1.1657341758564144e-14
GNO,-1,NA,0,1,1,information,2,2,12.480669656461046,2.2421136482647423e-11,1.2434497875801753e-14
GNO,-1,NA,0,1,1,covariance,2,2,1.4999999999999902,2.7064447157493955e-10,1.3766765505351941e-14
GNO,-1,NA,0,1,1,information,2,3,9.183227115060788,1.2453265937401457e-11,8.8817841970012523e-15
GNO,-1,NA,0,1,1,covariance,2,3,-0.499999999999998,2.7064447157493955e-10,1.3322676295501878e-15
GNO,-1,NA,0,1,1,information,3,1,-9.8319483857609171,1.5960551777435551e-11,1.0658141036401503e-14
GNO,-1,NA,0,1,1,covariance,3,1,0.16148535219681232,2.7064447157493955e-10,4.4408920985006262e-15
GNO,-1,NA,0,1,1,information,3,2,9.183227115060788,1.2453265937401457e-11,8.8817841970012523e-15
GNO,-1,NA,0,1,1,covariance,3,2,-0.49999999999999806,2.7064447157493955e-10,3.2751579226442118e-15
GNO,-1,NA,0,1,1,information,3,3,7.8857845736605316,5.591886198380185e-12,5.3290705182007514e-15
GNO,-1,NA,0,1,1,covariance,3,3,0.91041406702456473,2.7064447157493955e-10,1.9984014443252818e-15
GNO,1,NA,0,1,1,score_mean,1,0,4.5102810375396984e-17,1.3458266784668782e-14,6.0021432268797525e-16
GNO,1,NA,0,1,1,score_mean,2,0,4.5102810375396984e-17,1.3572758091554548e-14,4.891920202254596e-16
GNO,1,NA,0,1,1,score_mean,3,0,-5.4210108624275222e-17,1.1324159398515834e-13,1.95590071916385e-16
GNO,1,NA,0,1,1,information,1,1,14.778112197861303,2.1004639009308756e-11,1.2434497875801753e-14
GNO,1,NA,0,1,1,covariance,1,1,1.0635395349949464,2.7064447157493955e-10,7.5495165674510645e-15
GNO,1,NA,0,1,1,information,1,2,13.129390927161172,1.7179570726652612e-11,8.8817841970012523e-15
GNO,1,NA,0,1,1,covariance,1,2,-0.99999999999999234,2.7064447157493955e-10,1.0547118733938987e-14
GNO,1,NA,0,1,1,information,1,3,-9.8319483857609171,1.5960551777435551e-11,1.0658141036401503e-14
GNO,1,NA,0,1,1,covariance,1,3,0.16148535219681237,2.7064447157493955e-10,2.6922908347160046e-15
GNO,1,NA,0,1,1,information,2,1,13.129390927161172,1.7179570726652612e-11,8.8817841970012523e-15
GNO,1,NA,0,1,1,covariance,2,1,-0.99999999999999234,2.7064447157493955e-10,1.1657341758564144e-14
GNO,1,NA,0,1,1,information,2,2,12.480669656461046,2.2421136482647423e-11,1.2434497875801753e-14
GNO,1,NA,0,1,1,covariance,2,2,1.4999999999999902,2.7064447157493955e-10,1.3766765505351941e-14
GNO,1,NA,0,1,1,information,2,3,-9.183227115060788,1.2453265937401457e-11,8.8817841970012523e-15
GNO,1,NA,0,1,1,covariance,2,3,0.499999999999998,2.7064447157493955e-10,1.3322676295501878e-15
GNO,1,NA,0,1,1,information,3,1,-9.8319483857609171,1.5960551777435551e-11,1.0658141036401503e-14
GNO,1,NA,0,1,1,covariance,3,1,0.16148535219681232,2.7064447157493955e-10,4.4408920985006262e-15
GNO,1,NA,0,1,1,information,3,2,-9.183227115060788,1.2453265937401457e-11,8.8817841970012523e-15
GNO,1,NA,0,1,1,covariance,3,2,0.49999999999999806,2.7064447157493955e-10,3.2751579226442118e-15
GNO,1,NA,0,1,1,information,3,3,7.8857845736605316,5.591886198380185e-12,5.3290705182007514e-15
GNO,1,NA,0,1,1,covariance,3,3,0.91041406702456473,2.7064447157493955e-10,1.9984014443252818e-15
GNO,-2,NA,0,1,1,score_mean,1,0,1.1102230246251565e-16,1.753589474603726e-13,3.4416913763379853e-15
GNO,-2,NA,0,1,1,score_mean,2,0,-4.163336342344337e-17,1.7276724438607776e-13,1.0824674490095276e-15
GNO,-2,NA,0,1,1,score_mean,3,0,-6.9388939039072284e-18,7.7352099103511779e-14,4.8572257327350599e-16
GNO,-2,NA,0,1,1,information,1,1,14904.789935208642,1.1757743938410821e-08,2.9103830456733704e-11
GNO,-2,NA,0,1,1,covariance,1,1,1.0028320881413928,4.8941978127198323e-07,1.8305357230019581e-11
GNO,-2,NA,0,1,1,information,1,2,-7448.7004395548565,5.8554275653436792e-09,6.3664629124104977e-12
GNO,-2,NA,0,1,1,covariance,1,2,2.0000000000041092,4.8941978127198323e-07,3.6966429917129062e-11
GNO,-2,NA,0,1,1,information,1,3,-3709.5721075795673,2.9023750901131011e-09,4.5474735088646412e-12
GNO,-2,NA,0,1,1,covariance,1,3,0.013101439595815579,4.8941978127198323e-07,6.8230317229467374e-13
GNO,-2,NA,0,1,1,information,2,1,-7448.7004395548565,5.8554275653436792e-09,6.3664629124104977e-12
GNO,-2,NA,0,1,1,covariance,2,1,2.0000000000041092,4.8941978127198323e-07,3.6498359889947096e-11
GNO,-2,NA,0,1,1,information,2,2,3722.7529557526955,2.9177008987441205e-09,3.637978807091713e-12
GNO,-2,NA,0,1,1,covariance,2,2,4.5000000000079581,4.8941978127198323e-07,7.2986949817277491e-11
GNO,-2,NA,0,1,1,information,2,3,1853.9874217774172,1.446962762977124e-09,2.2737367544323206e-12
GNO,-2,NA,0,1,1,covariance,2,3,-0.99999999999946931,4.8941978127198323e-07,8.2600593032111647e-14
GNO,-2,NA,0,1,1,information,3,1,-3709.5721075795673,2.9023750901131011e-09,4.5474735088646412e-12
GNO,-2,NA,0,1,1,covariance,3,1,0.013101439595815527,4.8941978127198323e-07,2.5787878776828421e-13
GNO,-2,NA,0,1,1,information,3,2,1853.9874217774172,1.446962762977124e-09,2.2737367544323206e-12
GNO,-2,NA,0,1,1,covariance,3,2,-0.99999999999946942,4.8941978127198323e-07,1.9637624859569769e-12
GNO,-2,NA,0,1,1,information,3,3,923.79918283924326,7.1960126895214905e-10,7.9580786405131221e-13
GNO,-2,NA,0,1,1,covariance,3,3,2.0606081841506305,4.8941978127198323e-07,2.9065638784686598e-12
GNO,2,NA,0,1,1,score_mean,1,0,-1.1102230246251565e-16,1.753589474603726e-13,3.4416913763379853e-15
GNO,2,NA,0,1,1,score_mean,2,0,-4.163336342344337e-17,1.7276724438607776e-13,1.0824674490095276e-15
GNO,2,NA,0,1,1,score_mean,3,0,6.9388939039072284e-18,7.7352099103511779e-14,5.4123372450476381e-16
GNO,2,NA,0,1,1,information,1,1,14904.789935208642,1.1757743938410821e-08,2.9103830456733704e-11
GNO,2,NA,0,1,1,covariance,1,1,1.0028320881413928,4.8941978127198323e-07,1.8305357230019581e-11
GNO,2,NA,0,1,1,information,1,2,7448.7004395548565,5.8554275653436792e-09,6.3664629124104977e-12
GNO,2,NA,0,1,1,covariance,1,2,-2.0000000000041092,4.8941978127198323e-07,3.6966429917129062e-11
GNO,2,NA,0,1,1,information,1,3,-3709.5721075795673,2.9023750901131011e-09,4.5474735088646412e-12
GNO,2,NA,0,1,1,covariance,1,3,0.013101439595815579,4.8941978127198323e-07,6.8230317229467374e-13
