family,mu,sigma,gamma,base,probability,quantile,gradient_mu,gradient_sigma,gradient_gamma,cov11,cov12,cov13,cov22,cov23,cov33,variance_mle
PearsonTypeIII,2,3,-1.2,2.71828182845905,0.01,-7.44830964561176,0.999999999998039,-3.14943654854331,1.86654556621788,0.0899999999999999,-0.0539999999999999,0,0.0778417123158923,-0.0233541065357456,0.0166073646476413,1.53468452749583
LogPearsonTypeIII,0.3,0.2,-1.2,2.71828182845905,0.01,0.719004753722782,0.719004753722737,-2.26445984994559,0.0894703423433439,4e-04,-0.00024,0,0.000345963165848411,-0.00155694043571638,0.0166073646476414,0.00352614461746499
PearsonTypeIII,2,3,-1.2,2.71828182845905,0.83,4.7345915816387,0.999999999997299,0.911530527213995,0.264345413522913,0.0899999999999999,-0.0539999999999999,0,0.0778417123158923,-0.0233541065357456,0.0166073646476413,0.0461381774859358
LogPearsonTypeIII,0.3,0.2,-1.2,2.71828182845905,0.83,1.61980554071328,1.61980554071184,1.47650219850877,0.0285458776994349,4e-04,-0.00024,0,0.000345963165848411,-0.00155694043571638,0.0166073646476414,0.000538026513192351
PearsonTypeIII,2,3,-1.2,2.71828182845905,0.99,6.3482454995161,0.999999999998039,1.44941516650787,2.03260889520767,0.0899999999999999,-0.0539999999999999,0,0.0778417123158923,-0.0233541065357456,0.0166073646476413,0.0279998832609029
LogPearsonTypeIII,0.3,0.2,-1.2,2.71828182845905,0.99,1.8037774211679,1.80377742116803,2.61442235123939,0.244424935416345,4e-04,-0.00024,0,0.000345963165848411,-0.00155694043571638,0.0166073646476414,0.00040489237226354
PearsonTypeIII,2,3,-0.2,2.71828182845905,0.01,-5.41676844721624,0.999999999995819,-2.47225614907334,2.16946875306453,0.089999999999156,-0.00899999999997963,2.3283064365387e-15,0.0463365272712935,-0.00882107999052285,0.0582191279373897,0.786349056787591
LogPearsonTypeIII,0.3,0.2,-0.2,2.71828182845905,0.01,0.823286329104492,0.823286329104666,-2.03537468957515,0.119072931053787,0.000399999999997934,-3.99999999999389e-05,1.45519152283669e-16,0.00020594012120564,-0.000588071999359418,0.0582191279365284,0.00236883417446154
PearsonTypeIII,2,3,-0.2,2.71828182845905,0.83,4.86658266452312,0.99999999999915,0.955527554842048,0.00406242757803691,0.089999999999156,-0.00899999999997963,2.3283064365387e-15,0.0463365272712935,-0.00882107999052285,0.0582191279373897,0.115039756407425
LogPearsonTypeIII,0.3,0.2,-0.2,2.71828182845905,0.83,1.6341217612791,1.63412176127827,1.56144837086684,0.00044256675342987,0.000399999999997934,-3.99999999999389e-05,1.45519152283669e-16,0.00020594012120564,-0.000588071999359418,0.0582191279365284,0.00136531940315103
