# Flood Damage Binary Outcome Data
# Synthetic data for logistic regression modeling
# DamageOccurred: 1 = structure damage observed, 0 = no damage
FloodStage_ft,Duration_hr,Velocity_fps,DamageOccurred
8.2,4,1.5,0
12.5,8,3.2,0
15.0,12,4.1,1
10.3,6,2.0,0
18.5,24,5.8,1
7.1,3,1.2,0
14.2,10,3.8,1
9.5,5,1.8,0
16.8,18,5.0,1
11.0,7,2.5,0
13.5,9,3.5,0
19.2,30,6.2,1
8.8,4,1.6,0
17.5,22,5.5,1
10.8,6,2.3,0
15.5,14,4.5,1
12.0,8,2.8,0
20.0,36,6.8,1
9.0,4,1.7,0
14.8,11,4.0,1
11.5,7,2.6,0
16.2,16,4.8,1
13.0,8,3.2,0
18.0,26,5.6,1
7.5,3,1.3,0
15.8,15,4.6,1
10.0,5,2.1,0
17.0,20,5.2,1
12.8,9,3.0,0
19.5,32,6.5,1
8.5,4,1.5,0
14.5,10,3.9,1
11.2,7,2.4,0
16.5,17,4.9,1
13.8,9,3.6,1
