# General Statistical Test Samples
# Two independent samples for descriptive statistics, hypothesis tests, and L-moments
# Source: Validated against R Core Team (2024) and R packages (psych, EnvStats, lmom)
Sample1,Sample2
122,279
244,105
214,171
173,171
229,129
156,127
212,194
263,234
146,251
183,152
161,207
205,205
135,183
331,137
225,148
174,189
98.8,182
149,236
238,148
262,150
132,207
235,252
216,237
240,209
230,225
192,137
195,207
172,129
173,148
172,192
153,95
142,231
317,255
161,220
201,205
204,163
194,265
164,190
183,226
161,123
167,108
179,145
185,197
117,233
192,133
337,177
125,211
166,180
99.1,200
202,197
230,142
158,166
262,251
154,254
164,226
182,197
164,250
183,194
171,190
250,181
184,290
205,185
237,123
177,208
239,238
187,179
180,189
173,225
174,236
