# Regional Streamflow Regression Data
# Synthetic data modeled after USGS regional regression relationships
# for watersheds in the central United States
DrainageArea_sqmi,MeanAnnualPrecip_in,MeanElevation_ft,AnnualPeakFlow_cfs
12.5,38.2,820,1450
25.0,40.1,790,2680
48.3,39.5,850,4520
75.0,41.0,780,6100
102.0,42.3,760,7850
18.7,37.8,830,2050
55.0,40.5,810,5200
130.0,43.0,740,9300
8.2,36.5,870,980
200.0,44.2,720,12500
35.0,39.0,840,3400
88.0,41.5,770,6900
150.0,43.5,730,10200
42.0,39.8,825,4100
65.0,40.8,800,5650
110.0,42.8,750,8500
22.0,38.5,835,2350
170.0,43.8,725,11200
95.0,42.0,765,7400
30.0,38.8,845,3050
145.0,43.2,735,9800
60.0,40.2,805,5400
180.0,44.0,718,11800
15.0,37.5,855,1700
80.0,41.2,775,6500
